x_fraction,mean_eneg,mean_radius,max_oxid,formation_energy_per_atom
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.3333,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.25,1.66,1.4,6.0,
0.3191,1.55,1.4,7.0,
0.3191,1.55,1.4,7.0,
0.3175,1.55,1.4,7.0,
0.3443,1.55,1.4,7.0,
0.3443,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.4,1.55,1.4,7.0,
0.2857,1.55,1.4,7.0,
0.2222,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4286,1.55,1.4,7.0,
0.4167,1.55,1.4,7.0,
0.3846,1.55,1.4,7.0,
0.3846,1.55,1.4,7.0,
0.3684,1.55,1.4,7.0,
0.32,1.55,1.4,7.0,
0.4091,1.55,1.4,7.0,
0.5,1.55,1.4,7.0,
0.5,1.55,1.4,7.0,
0.5,1.55,1.4,7.0,
0.5,1.55,1.4,7.0,
0.5,1.55,1.4,7.0,
0.5,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.3333,1.55,1.4,7.0,
0.25,1.55,1.4,7.0,
0.2,1.55,1.4,7.0,
0.4762,1.83,1.4,3.0,
0.4762,1.83,1.4,3.0,
0.4762,1.83,1.4,3.0,
0.4783,1.83,1.4,3.0,
0.48,1.83,1.4,3.0,
0.4815,1.83,1.4,3.0,
0.4643,1.83,1.4,3.0,
0.4062,1.83,1.4,3.0,
0.4828,1.83,1.4,3.0,
0.4839,1.83,1.4,3.0,
0.4839,1.83,1.4,3.0,
0.4857,1.83,1.4,3.0,
0.4773,1.83,1.4,3.0,
0.3962,1.83,1.4,3.0,
0.4792,1.83,1.4,3.0,
0.4182,1.83,1.4,3.0,
0.4182,1.83,1.4,3.0,
0.4386,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.4,1.83,1.4,3.0,
0.2857,1.83,1.4,3.0,
0.4776,1.83,1.4,3.0,
0.493,1.83,1.4,3.0,
0.4935,1.83,1.4,3.0,
0.75,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4286,1.83,1.4,3.0,
0.4227,1.83,1.4,3.0,
0.4019,1.83,1.4,3.0,
0.2353,1.83,1.4,3.0,
0.2353,1.83,1.4,3.0,
0.4444,1.83,1.4,3.0,
0.4167,1.83,1.4,3.0,
0.4167,1.83,1.4,3.0,
0.3846,1.83,1.4,3.0,-1.456271
0.3846,1.83,1.4,3.0,
0.3846,1.83,1.4,3.0,
0.4667,1.83,1.4,3.0,
0.4667,1.83,1.4,3.0,
0.4375,1.83,1.4,3.0,
0.32,1.83,1.4,3.0,
0.4706,1.83,1.4,3.0,
0.4706,1.83,1.4,3.0,
0.4737,1.83,1.4,3.0,
0.4091,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.5,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.3333,1.83,1.4,3.0,
0.25,1.83,1.4,3.0,
0.3488,1.88,1.35,3.0,
0.3443,1.88,1.35,3.0,
0.4182,1.88,1.35,3.0,
0.4182,1.88,1.35,3.0,
0.4203,1.88,1.35,3.0,
0.4,1.88,1.35,3.0,
0.4286,1.88,1.35,3.0,
0.4286,1.88,1.35,3.0,
0.4286,1.88,1.35,3.0,
0.4286,1.88,1.35,3.0,
0.4167,1.88,1.35,3.0,
0.3846,1.88,1.35,3.0,
0.3684,1.88,1.35,3.0,
0.3684,1.88,1.35,3.0,
0.4091,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.5,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.3333,1.88,1.35,3.0,
0.2,1.88,1.35,3.0,
0.4839,1.91,1.35,2.0,
0.4839,1.91,1.35,2.0,
0.4839,1.91,1.35,2.0,
0.4,1.91,1.35,2.0,
0.4,1.91,1.35,2.0,
0.2857,1.91,1.35,2.0,
0.4286,1.91,1.35,2.0,
0.4286,1.91,1.35,2.0,
0.8,1.91,1.35,2.0,
0.5714,1.91,1.35,2.0,
0.3125,1.91,1.35,2.0,
0.5556,1.91,1.35,2.0,
0.5556,1.91,1.35,2.0,
0.4545,1.91,1.35,2.0,
0.4167,1.91,1.35,2.0,
0.4615,1.91,1.35,2.0,
0.4737,1.91,1.35,2.0,
0.4091,1.91,1.35,2.0,
0.5,1.91,1.35,2.0,
0.5,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
