battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-21021_Na,Mo3Se4,Mo,Na(Mo3Se4)2,2.16,1.45,6.0,2.55,0.0,148,5,21.9735,6.5169,0.0,5,3.2495,1.675246,0.038495
mp-705562_Na,Mo4P5O24,Mo,Na3Mo4P5O24,2.16,1.45,6.0,3.44,0.0,9,2,14.9136,3.113,2.19,0,5.5,3.616628,0.00939
mp-504778_Na,MoF6,Mo,Na3MoF6,2.16,1.45,6.0,3.98,0.0,225,7,21.8194,2.2824,0.0,0,5.0,3.062632,0.004545
mp-25349_Na,MoO2,Mo,NaMoO2,2.16,1.45,6.0,3.44,0.0,12,2,13.8674,5.1066,0.0,4,4.0,2.13705,0.212444
mp-18435_Na,MoP2O7,Mo,NaMoP2O7,2.16,1.45,6.0,3.44,0.0,14,2,14.1112,3.1759,2.19,0,3.0,3.185216,0.028667
mp-771195_Na,Ni2As(CO4)4,Ni,Na6Ni2As(CO4)4,1.91,1.35,2.0,3.44,0.0,15,2,15.2119,2.3557,2.18,4,3.0,3.781584,0.023589
mp-776196_Na,Ni2C4SO16,Ni,Na6Ni2C4SO16,1.91,1.35,2.0,3.44,0.0,70,3,14.8404,2.2062,2.58,0,2.0,4.299878,0.01724
mp-755035_Na,Ni2O5,Ni,Na3Ni2O5,1.91,1.35,2.0,3.44,0.0,2,1,14.0381,3.3354,0.0,0,4.0,2.769067,0.038114
mp-778605_Na,Ni2P(CO4)4,Ni,Na6Ni2P(CO4)4,1.91,1.35,2.0,3.44,0.0,70,3,14.8848,2.1943,2.19,0,3.2495,4.307202,0.025521
mp-25269_Na,Ni2P3O10,Ni,NaNi2P3O10,1.91,1.35,2.0,3.44,0.0,11,2,11.4384,3.5838,2.19,0,3.2495,4.774256,0.045299
mp-25992_Na,Ni3(P2O7)2,Ni,Na2Ni3(P2O7)2,1.91,1.35,2.0,3.44,0.0,14,2,12.0843,3.4286,2.19,0,2.5,4.598508,0.062253
mp-754800_Na,Ni3O4,Ni,NaNi3O4,1.91,1.35,2.0,3.44,0.0,12,2,10.1629,5.6038,0.0,4,2.5,2.864912,0.091635
mp-21966_Na,Ni4(PO4)3,Ni,NaNi4(PO4)3,1.91,1.35,2.0,3.44,0.0,58,3,12.5984,3.6051,2.19,0,2.0,4.566087,0.008493
mp-26314_Na,Ni5(P3O11)2,Ni,Na4Ni5(P3O11)2,1.91,1.35,2.0,3.44,0.0,14,2,12.2881,3.4041,2.19,0,2.5,4.733145,0.078125
mp-753049_Na,Ni5O6,Ni,NaNi5O6,1.91,1.35,2.0,3.44,0.0,12,2,10.0712,5.8377,0.0,4,2.5,2.954215,0.043142
mp-19470_Na,Ni7(PO4)6,Ni,Na4Ni7(PO4)6,1.91,1.35,2.0,3.44,0.0,12,2,12.8649,3.4211,2.19,4,2.0,4.37764,0.000745
mp-770940_Na,NiAsCO7,Ni,Na3NiAsCO7,1.91,1.35,2.0,3.44,0.0,11,2,16.1441,2.6498,2.18,0,2.0,3.856679,0.011814
mp-768598_Na,NiCSO7,Ni,Na2NiCSO7,1.91,1.35,2.0,3.44,0.0,4,2,15.3616,2.3215,2.58,0,2.0,4.121878,0.028873
mp-542864_Na,NiH12(SO7)2,Ni,Na2NiH12(SO7)2,1.91,1.35,2.0,3.44,0.0,14,2,12.6564,1.6238,2.58,0,2.0,4.56754,0.18078
mp-755841_Na,NiO2,Ni,Na(NiO2)2,1.91,1.35,2.0,3.44,0.0,62,3,9.5936,5.2326,0.0,1,3.5,4.032115,0.187945
mp-21996_Na,NiO4,Ni,Na5NiO4,1.91,1.35,2.0,3.44,0.0,1,1,26.6757,1.5275,0.0,0,3.0,2.72329,0.046715
