tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,neg_avg_voltage,max_delta_volume
1.8725,1.3687,2.625,3.44,10.0,8,2,11.3567,4.3711,,
1.855,1.375,3.0,3.44,4.0,8,2,11.5149,5.0704,,
1.855,1.375,3.0,3.44,4.0,1,1,11.7523,5.0367,,
1.865,1.365,3.0,3.44,10.0,10,2,11.3985,4.3707,,
1.8425,1.3875,3.0,3.44,4.0,12,2,12.383,3.9611,,
1.83,1.4,3.0,3.44,4.0,6,2,11.8497,3.5674,,
1.83,1.4,3.0,3.44,4.0,2,1,12.5157,3.9701,,
1.85,1.3875,2.75,3.44,4.0,6,2,11.9042,3.5228,,
1.85,1.3875,2.75,3.44,7.0,1,1,13.7582,2.8259,-4.394681,0.009076
1.886,1.365,2.3,3.44,10.0,10,2,11.8276,4.2043,,
1.83,1.4,3.0,3.44,1.0,10,2,11.3363,4.845,,
1.83,1.4,3.0,3.44,5.0,9,2,13.3083,3.3522,,
1.83,1.4,3.0,3.98,3.0,9,2,14.1324,3.381,,
1.83,1.4,3.0,3.44,1.0,14,2,12.7429,3.3455,,
1.83,1.4,3.0,3.44,1.0,11,2,13.1866,3.1047,,
1.83,1.4,3.0,3.44,4.0,33,3,13.6744,2.9333,,
1.83,1.4,3.0,3.44,4.0,6,2,12.7612,3.6282,,
1.83,1.4,3.0,3.44,6.0,146,5,14.2603,2.9424,,
1.83,1.4,3.0,3.44,4.0,12,2,13.4258,4.301,,
1.83,1.4,3.0,3.44,2.0,186,6,11.8206,4.9534,,
1.83,1.4,3.0,3.44,4.0,12,2,13.647,4.8607,,
1.83,1.4,3.0,3.44,1.0,9,2,12.2662,3.6216,,
1.83,1.4,3.0,3.98,1.0,4,2,12.3777,4.1629,,
1.83,1.4,3.0,3.98,2.0,9,2,14.4913,3.4497,-3.590762,0.061667
1.83,1.4,3.0,3.44,1.0,2,1,13.0714,2.9915,,
1.8443,1.3857,3.0,3.44,5.0,5,2,11.5196,4.4693,,
1.8529,1.3857,2.7143,3.44,5.0,5,2,11.617,4.4282,,
1.83,1.4,3.0,3.98,1.0,22,3,12.9144,3.7455,,
1.83,1.4,3.0,3.44,6.0,2,1,13.6311,2.8969,,
1.83,1.4,3.0,3.44,4.0,14,2,13.088,3.1413,,
1.8487,1.3813,3.0,3.44,10.0,8,2,10.5217,4.6821,,
1.8433,1.3917,2.8333,3.44,4.0,146,5,12.2829,3.4089,,
1.8433,1.3917,2.8333,3.44,6.0,12,2,13.1779,3.7097,,
1.83,1.4,3.0,3.44,5.0,1,1,12.9524,3.5536,,
1.83,1.4,3.0,3.44,1.0,212,7,11.4784,4.5316,,
1.83,1.4,3.0,3.98,3.0,1,1,14.1434,3.4822,,
1.83,1.4,3.0,3.44,1.0,11,2,12.6255,3.6334,,
1.83,1.4,3.0,3.44,4.0,146,5,12.6847,3.756,,
1.83,1.4,3.0,3.44,4.0,146,5,12.6288,3.5459,,
1.83,1.4,3.0,3.44,6.0,12,2,13.4936,4.054,,
1.83,1.4,3.0,3.98,1.0,1,1,12.7847,4.1693,,
1.83,1.4,3.0,3.98,4.0,2,1,13.2701,3.748,,
1.83,1.4,3.0,3.44,8.0,8,2,12.6789,3.2065,-4.060776,0.008454
