battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-25382_Li,FePO4F,Fe,Li2FePO4F,1.83,1.4,3.0,3.98,2.0,2,1,13.314,3.0256,2.19,0,3.1586,4.009289,0.075429
mp-765579_Li,FePO5,Fe,Li3FePO5,1.83,1.4,3.0,3.44,3.0,7,2,15.523,2.5492,2.19,0,2.0,2.679945,0.006739
mp-757540_Li,FeSiO4,Fe,LiFeSiO4,1.83,1.4,3.0,3.44,1.0,181,6,16.9548,2.4147,1.9,0,3.0,4.710699,0.002258
mp-759075_Li,FeSiO5,Fe,Li3FeSiO5,1.83,1.4,3.0,3.44,3.0,1,1,16.2769,2.3891,1.9,0,3.1586,4.679582,0.06535
mp-772178_Li,FeSn(PO4)2,Fe,Li2FeSn(PO4)2,1.83,1.4,3.0,3.44,2.0,11,2,12.8241,3.9331,2.19,0,2.0,2.635877,0.119367
mp-556603_Li,FeWClO4,Fe,LiFeWClO4,1.83,1.4,3.0,3.44,1.0,129,4,18.4185,4.3679,2.36,0,3.0,3.389766,0.009436
mp-1013795_Li,Ge3(MoO6)2,Mo,Li3Ge3(MoO6)2,2.16,1.45,6.0,3.44,3.0,230,7,13.9754,4.2061,2.01,0,3.1586,3.371985,0.002389
mp-560465_Li,K11Mn4O16,Mn,K11LiMn4O16,1.55,1.4,7.0,3.44,1.0,121,4,18.1333,2.6758,0.0,0,5.0,3.477185,0.004021
mp-757055_Li,K2CoO4,Co,K2Li3CoO4,1.88,1.35,3.0,3.44,3.0,14,2,18.6141,2.5632,0.0,0,4.0,2.559163,0.029163
mp-764414_Li,K2NiO4,Ni,K2Li3NiO4,1.91,1.35,2.0,3.44,3.0,1,1,18.2424,2.6123,0.0,0,4.0,3.421978,0.026262
mp-761124_Li,KMnPCO7,Mn,KLiMnPCO7,1.55,1.4,7.0,3.44,1.0,4,2,15.2648,2.4626,2.19,0,3.0,3.911643,0.013931
mp-766086_Li,La2Ti2CrO9,Ti,LiLa2Ti2CrO9,1.58,1.4,4.6667,3.44,1.0,4,2,12.6098,5.3571,0.0,0,3.5,3.590478,0.008518
mp-1178128_Li,La3MnO7,Mn,LiLa3MnO7,1.55,1.4,7.0,3.44,1.0,4,2,13.6784,6.4413,0.0,0,7.0,4.675377,0.017604
mp-753934_Li,La4CoO8,Co,LiLa4CoO8,1.88,1.35,3.0,3.44,1.0,141,4,13.9304,6.8088,0.0,0,3.0,3.724501,0.021433
mp-754261_Li,La4FeO8,Fe,LiLa4FeO8,1.83,1.4,3.0,3.44,1.0,65,3,14.2546,6.6262,0.0,0,4.0,3.367874,0.024438
mp-769598_Li,La4MnO8,Mn,LiLa4MnO8,1.55,1.4,7.0,3.44,1.0,141,4,14.2404,6.6247,0.0,0,4.0,3.525158,0.02463
mp-19445_Li,La4NiO8,Ni,LiLa4NiO8,1.91,1.35,2.0,3.44,1.0,65,3,13.9252,6.8091,0.0,0,3.0,4.298855,0.017911
mp-756753_Li,La7(FeO8)2,Fe,Li3La7(FeO8)2,1.83,1.4,3.0,3.44,3.0,8,2,14.8472,5.9948,0.0,0,3.5,3.935767,0.004721
mp-759044_Li,Mg(Ni6O13)2,Ni,Li13Mg(Ni6O13)2,1.91,1.35,2.0,3.44,13.0,1,1,11.347,4.295,0.0,0,3.5,3.784667,0.014432
mp-756552_Li,Mg(NiO2)4,Ni,Li3Mg(NiO2)4,1.91,1.35,2.0,3.44,3.0,166,5,10.7164,4.6137,0.0,3,3.1586,3.645868,0.026254
mp-756696_Li,Mg2Mn3O8,Mn,LiMg2Mn3O8,1.55,1.4,7.0,3.44,1.0,160,5,11.2514,3.876,0.0,0,4.0,3.689019,0.020909
mp-760219_Li,MgCo13O28,Co,Li14MgCo13O28,1.88,1.35,3.0,3.44,14.0,1,1,11.6245,4.212,0.0,0,4.0,3.738658,0.057859
mp-754576_Li,MgCo3O8,Co,Li4MgCo3O8,1.88,1.35,3.0,3.44,4.0,166,5,11.5529,3.9419,0.0,3,3.1586,3.365441,0.035683
mp-769554_Li,MgCr3(SO4)6,Cr,Li2MgCr3(SO4)6,1.66,1.4,6.0,3.44,2.0,146,5,13.1851,2.8028,2.58,0,3.0,3.679442,0.04637
mp-769544_Li,MgCr3Se2(SO6)4,Cr,LiMgCr3Se2(SO6)4,1.66,1.4,6.0,3.44,1.0,1,1,13.6467,3.0437,2.58,0,3.5,4.778282,0.008336
mp-773018_Li,MgCr3Se3(SO8)3,Cr,Li2MgCr3Se3(SO8)3,1.66,1.4,6.0,3.44,2.0,1,1,13.879,3.1577,2.58,0,2.5,3.672476,0.046542
mp-532590_Li,MgCr7(SO4)12,Cr,LiMgCr7(SO4)12,1.66,1.4,6.0,3.44,1.0,1,1,13.0572,2.882,2.58,0,3.0,4.780452,0.006799
mp-756312_Li,MgNi3O8,Ni,Li4MgNi3O8,1.91,1.35,2.0,3.44,4.0,166,5,11.3091,4.0181,0.0,3,3.1586,3.820915,0.021035
mp-758924_Li,Mn(BO3)2,Mn,Li3Mn(BO3)2,1.55,1.4,7.0,3.44,3.0,14,2,12.1368,2.6232,2.04,0,3.5,3.717526,0.034547
mp-754012_Li,Mn(CO3)2,Mn,LiMn(CO3)2,1.55,1.4,7.0,3.44,1.0,148,5,11.4841,2.8109,0.0,5,4.0,4.428726,0.051397
mp-758628_Li,Mn(CO3)4,Mn,Li5Mn(CO3)4,1.55,1.4,7.0,3.44,5.0,7,2,14.2222,2.0259,0.0,0,7.0,4.325465,0.077036
mp-756302_Li,Mn(CoO2)4,Co,Li3Mn(CoO2)4,1.814,1.36,3.8,3.44,3.0,2,1,10.3497,5.1671,0.0,0,2.6667,3.300756,0.106794
mp-761633_Li,Mn(CoO3)2,Co,Li3Mn(CoO3)2,1.77,1.3667,4.3333,3.44,3.0,12,2,11.2608,4.4042,0.0,4,3.0,3.33805,0.094337
mp-756364_Li,Mn(NiO3)2,Ni,Li3Mn(NiO3)2,1.79,1.3667,3.6667,3.44,3.0,5,2,11.8005,4.1953,0.0,0,3.0,3.67027,0.008462
mp-763440_Li,Mn(O2F)2,Mn,Li8Mn(O2F)2,1.55,1.4,7.0,3.98,8.0,1,1,19.285,1.9304,0.0,0,2.0,4.53358,0.061226
mp-763790_Li,Mn(PO3)3,Mn,LiMn(PO3)3,1.55,1.4,7.0,3.44,1.0,2,1,13.5598,2.7493,2.19,0,3.0,4.502409,0.043758
mp-26274_Li,Mn(PO3)4,Mn,LiMn(PO3)4,1.55,1.4,7.0,3.44,1.0,15,2,14.2665,2.539,2.19,4,4.0,5.438288,0.010081
mp-705355_Li,Mn(PO3)5,Mn,Li2Mn(PO3)5,1.55,1.4,7.0,3.44,2.0,11,2,14.5777,2.4398,2.19,0,3.0,5.409896,0.023101
mp-753895_Li,Mn(PO4)2,Mn,Li3Mn(PO4)2,1.55,1.4,7.0,3.44,3.0,14,2,12.1346,3.0464,2.19,0,7.0,5.499463,0.076211
mp-773014_Li,Mn(SO4)2,Mn,LiMn(SO4)2,1.55,1.4,7.0,3.44,1.0,146,5,13.4136,2.7805,2.58,0,4.0,5.296114,0.05403
mp-757065_Li,Mn(SbO3)4,Mn,Li3Mn(SbO3)4,1.55,1.4,7.0,3.44,3.0,1,1,12.3702,5.7957,2.05,0,4.0,3.617243,0.084349
mp-849757_Li,Mn(Si2O5)2,Mn,LiMn(Si2O5)2,1.55,1.4,7.0,3.44,1.0,130,4,14.4467,2.5078,1.9,0,3.0,5.040083,0.086047
mp-775195_Li,Mn11Fe(PO4)12,Mn,Li12Mn11Fe(PO4)12,1.5733,1.4,6.6667,3.44,12.0,6,2,12.184,3.4069,2.19,0,2.0,3.77139,0.065784
mp-775158_Li,Mn13Cr3O32,Mn,Li8Mn13Cr3O32,1.5706,1.4,6.8125,3.44,8.0,12,2,11.7989,4.0525,0.0,4,3.3333,4.233414,0.042027
mp-771188_Li,Mn13Fe3O32,Mn,Li8Mn13Fe3O32,1.6025,1.4,6.25,3.44,8.0,12,2,11.9166,4.046,0.0,4,3.1586,4.227074,0.040725
